Title	shield	magnetic	sure	idea	put	guy	land	cannot	bill	video	great	technology	water	moon	heat	start	love	s	look	might	u	people	wonder	makes	exploration	don	solar	anyone	energy	planet	like	years	nothing	tell	please	space	back	want	human	lot	gravity	orbit	right	sol	would	things	bring	colonizing	could	mission	still	ships	atmosphere	something	need	re	thing	stupid	rocket	real	humans	called	dream	ship	first	mars	easier	see	question	plan	colonization	t	let	low	there	that	get	much	best	resources	enough	time	hate	come	surface	even	return	it	can	oxygen	learn	life	long	make	world	way	fuel	without	going	big	colony	cold	probably	send	said	every	know	build	future	living	bad	humanity	take	good	earth	better	launch	air	new	think	live	us	sounds	help	money	many	use	you	believe	man	really	field	lunar	radiation	musk	game	well	yes	also	problem	around	go	colonize	die	base	far	we	system	one
Sol 0: Mars Colonization - Ep. 1/3 || Notre mission : Coloniser mars ! || P&G [FR]	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SpaceX's plan to colonize Mars, explained	0	0	2	0	0	1	1	2	4	0	4	1	0	5	0	0	1	4	1	0	0	3	2	0	1	1	1	0	0	0	3	2	1	0	0	6	2	2	7	0	1	2	0	0	4	0	0	0	3	0	0	0	1	1	3	0	0	0	1	2	1	0	2	0	1	6	0	1	0	2	0	6	2	0	2	0	3	0	0	0	0	0	0	0	1	1	0	4	0	0	0	1	2	1	0	1	0	1	2	3	0	1	0	2	1	0	2	0	1	0	0	9	2	1	1	0	0	0	1	2	0	5	0	1	0	0	0	0	1	6	1	0	2	2	0	0	1	0	1	0	1	2	1	1	0	0	1	0	3
Mars by 2025, Elon Musk wants us to Colonize Mars by 2025	0	0	0	0	0	0	1	1	0	2	1	1	0	2	0	0	0	0	0	0	0	3	0	0	0	0	1	0	2	1	3	0	0	0	0	2	0	0	0	0	0	1	1	0	2	1	0	1	0	0	1	0	0	0	0	1	0	0	1	2	1	0	1	0	2	7	0	0	0	0	1	2	0	0	0	0	3	2	0	0	0	1	0	0	0	3	0	1	0	0	0	0	0	1	1	1	0	0	3	2	2	0	0	0	0	0	2	1	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	1	0	0	1	0	1	1	0	0	1	1	0	1	0	0	1	0	1	3	0	1	1	0	1	2
Mars Colonization E03 - Landing on Mars Surface (SpaceX ITS in KSP)	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	1	2	1	0	0	2	1	0	0	3	1	0	0	0	0	1	0	0	0	2	0	1	2	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	3	9	0	1	0	0	2	5	0	0	0	2	3	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	2	1	0	0	0	7	0	0	3	4	0	1	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	3	2	0	1	0	0	1	0
Zubrin's Guide to Colonizing Mars | MARS	0	0	0	2	0	2	0	0	0	0	1	0	0	2	0	1	0	3	1	0	1	0	0	0	0	2	0	0	2	4	7	6	0	0	0	4	0	2	1	0	1	1	0	0	0	0	2	2	1	1	1	1	1	2	2	1	0	0	1	0	2	0	1	0	2	11	0	2	0	0	1	3	0	1	1	1	1	0	0	0	2	1	0	0	0	0	2	1	0	0	0	2	1	2	0	3	2	1	9	0	2	0	0	1	0	1	1	0	0	0	0	0	1	0	5	1	1	0	1	1	2	0	0	0	4	0	3	1	0	2	1	1	0	1	0	0	0	0	0	2	2	4	1	0	0	0	0	0	2
Elon Musk Unveils Mars Colony Master Plan (Full) Sept 27, 2016	0	4	0	0	2	1	0	0	0	0	0	2	0	12	0	0	1	5	0	0	1	2	1	0	0	0	2	0	0	4	6	3	0	0	0	4	1	1	0	0	0	0	0	0	10	0	0	0	3	0	0	0	3	0	1	1	0	0	1	0	1	0	1	0	1	16	0	0	1	1	0	5	2	0	1	0	2	0	1	0	0	1	0	1	1	1	1	2	1	0	0	2	0	4	0	2	2	1	1	0	1	1	0	1	1	0	2	1	1	0	0	0	0	1	7	0	0	0	1	1	0	1	0	3	0	0	1	2	1	0	0	2	0	2	1	0	1	0	1	1	0	2	1	0	2	0	0	1	1
The realities of Elon Musk's "big" plan to colonize Mars	1	3	0	1	0	0	2	0	0	1	0	2	3	4	0	0	0	20	0	0	0	7	0	0	0	2	5	0	0	1	5	1	1	2	0	4	0	9	4	0	10	0	0	0	8	1	2	0	6	0	2	0	3	0	1	3	0	0	2	1	4	1	0	1	0	8	0	0	2	3	0	7	2	4	1	1	0	4	2	0	2	4	0	0	4	3	0	11	0	0	2	0	1	3	1	0	0	1	1	2	1	0	4	1	1	2	1	1	1	1	0	1	1	1	3	0	0	0	0	2	2	1	0	0	0	2	0	3	0	0	6	3	2	1	5	0	0	3	0	0	0	5	4	0	9	2	1	5	0
Mars Colony Plans?	1	0	2	2	1	1	0	0	0	0	2	0	0	0	0	0	0	1	0	3	0	1	0	2	0	3	0	0	3	0	6	0	2	0	0	2	0	0	0	1	1	0	0	0	7	0	0	0	1	1	2	0	1	2	1	2	0	0	0	0	2	0	2	0	1	11	0	0	1	0	0	7	0	1	0	0	1	3	0	0	0	2	0	2	0	1	1	1	0	2	0	5	1	1	0	1	0	0	2	1	4	0	1	1	0	0	1	0	2	1	0	1	0	2	4	2	0	0	0	2	2	0	1	0	0	0	1	2	0	0	0	0	0	3	2	0	1	0	0	0	0	2	1	2	0	0	0	0	3
How colonizing Mars could spark new kind of human evolution	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	2	0	0	0	1	2	1	0	0	0	1	2	0	6	0	0	0	0	0	4	0	0	1	3	0	2	0	0	0	0	0	0	0	0	1	2	0	0	1	2	3	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	2	1	0	0	0	0	0	0	0	2	0	2	1	1	1	1	0	0	1	0	0	2	0	2	0	0	0	2	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	0	1	5
The Colonization of Mars : Documentary on Future Settlements on Mars (Full Documentary)	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
