Title	business	able	found	world	work	well	way	thank	presentation	video	great	big	s	talk	people	simple	en	e	don	explaining	thanks	is	every	like	please	want	human	know	good	lot	t	class	better	best	would	data	much	explanation	understand	think	what	need	give	nice	explained	clear	he	really	knows	videos	started	song	awesome	get	keep	audience	even	die	different	it	la	music	learning	one	learn	el
How to Monetize Big Data | Mathias Lund Nielsen | TEDxKEA	2	0	2	0	0	0	0	0	0	1	0	3	0	3	0	0	0	0	1	0	0	0	0	2	0	0	0	2	2	1	1	1	0	0	0	4	1	0	0	0	0	1	0	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
Big Data - "Automatic (feat. Jenn Wasner) [AUDIO]	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	4	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	1	0	0	1	0	0	0	0	1	0	2	0	0
Big Data and Hadoop Quick Introduction	0	0	0	0	2	2	5	1	1	0	1	9	0	0	0	4	0	0	0	2	5	0	0	1	3	2	0	1	2	0	0	2	0	2	1	7	0	4	2	0	0	2	0	4	0	1	0	2	0	4	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0
Bigdata and Hadoop	0	0	0	0	0	2	0	2	0	6	0	1	0	1	0	0	0	0	0	0	2	0	0	0	6	0	0	0	1	1	2	0	0	1	0	3	0	0	0	0	0	0	0	1	1	0	0	2	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Big Data Predictions 2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Big Data y ftbol: as aprovecha el Real Madrid la tecnologa	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	6
Data Science vs Big Data vs Data Analytics | Simplilearn	0	0	0	0	0	0	1	0	0	4	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	4	0	0	0	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
What is Big Data? Big Data Explained (Hadoop & MapReduce)	1	0	0	1	0	4	0	3	2	6	0	7	2	0	1	1	0	0	0	0	7	1	2	1	1	0	0	1	5	2	0	0	0	0	0	7	2	0	0	0	1	0	0	3	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
What is Big Data and how does it work?	0	2	2	0	3	1	1	2	0	6	2	3	2	0	0	0	0	0	0	0	0	1	0	2	2	0	0	1	2	0	2	0	0	3	2	2	1	1	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	1	1	0
Getting a big data job	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Big Data: Die digitalisierte Erde Doku	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Olhar Digital - Voc sabe o que  Big Data?	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Big Data.    ?	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Is Big Data Killing Creativity? | Michael Smith | TEDxHarvardCollege	0	0	0	0	0	0	1	0	0	0	1	3	4	2	1	0	0	0	2	0	0	1	1	2	0	0	0	1	2	0	2	0	0	0	4	4	0	0	1	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	3	3	0	0	0	0	0	0
Curso de Big Data - Aula 1 - O que  Big Data?	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Big Data will impact every part of your life | Charlie Stryker | TEDxFultonStreet	0	0	0	3	0	0	0	0	0	0	0	10	2	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	0	2	0	0	14	0	0	1	1	0	0	0	0	0	0	0	0	2	0	1	0	1	2	0	0	3	0	0	1	0	0	0	7	0	0
Big Data Challenges and Opportunities	0	0	0	1	0	1	0	2	0	2	1	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0
Qu es Big Data y cmo usarlo en tu negocio	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
What Is Big Data | What Is Hadoop | Big Data Tutorial For Beginners	3	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	3	0	2	0	0	0	0	3	0	0	0	0	2	2	0	0	2	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	2	0	0
Big Data - "The Business of Emotion (feat. White Sea)" [Official Music Video]	1	0	0	0	0	0	0	0	0	5	2	4	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	3	0	0	0	0	0	1	0	0	0	2	0	0	0	0
What is Big Data and Hadoop?	0	0	0	0	0	0	0	1	0	1	1	3	1	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	2	0	0	0	0	2	0	5	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	2	0	0	0	3	2	0
Launching Your First Big Data Project on AWS	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Big Data Revolution" - PBS Documentary	0	0	1	0	0	0	0	0	0	0	3	3	2	0	2	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	3	0	3	0	1	0	0
What is big data?	0	2	0	1	0	0	0	0	0	5	0	1	0	0	1	0	0	0	0	0	0	2	0	2	0	0	2	0	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	3	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	2	0	0
What Exactly Is Big Data And Why Should You Care?	0	0	0	0	0	0	0	0	0	1	0	2	1	1	0	0	0	0	0	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
What is Big Data? Explain Big Data, Define Big Data, Big Data Examples	0	0	0	0	0	0	1	6	0	2	2	7	0	0	0	4	0	0	0	1	3	1	0	0	0	0	0	0	3	3	0	0	0	0	0	7	2	5	2	0	1	1	0	3	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Deep Learning: Intelligence from Big Data	0	0	0	1	0	1	2	0	0	0	0	1	8	2	2	1	0	0	1	1	0	0	1	1	0	0	2	0	0	0	3	0	0	0	0	2	1	0	1	2	0	0	0	0	0	0	2	2	2	1	2	0	0	2	0	0	2	0	0	4	0	0	2	0	0	0
APA ITU BIG DATA?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Big Data and Hadoop 1 | Hadoop Tutorial 1 | Big Data Tutorial 1 | Hadoop Tutorial for Beginners - 1	0	0	0	0	0	1	1	0	2	5	0	5	1	1	0	2	0	0	2	0	2	0	0	2	3	0	0	0	6	1	3	2	0	0	0	4	1	0	2	0	0	2	2	0	0	0	0	0	0	0	2	0	0	0	1	4	1	0	0	2	0	0	1	0	2	0
