Title	deus	work	put	got	way	thank	great	say	s	legs	would	people	using	don	arms	think	cut	like	bionic	years	technology	want	human	never	know	control	good	better	right	arm	need	could	still	new	future	limbs	something	fucking	thing	real	really	lost	back	t	prosthetic	get	bionics	can	ex	cool	time	left	hand	leg	even	it	amazing	one
'Terminator' arm is world's most advanced prosthetic limb	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	2	0	1	0	2	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	1	1	0	0	0	0	0	1	2	0	0	0	1	0	0	1	0	0	1	0	1
Bionic Limb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
Oscar the Bionic Cat	0	2	2	2	1	0	2	0	2	2	3	0	0	0	0	1	0	2	2	0	0	1	0	0	0	0	2	0	2	0	3	1	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0
Top 5 Latest Insane Technologies! | From Bionics to Predictive A.I.	0	0	0	3	1	2	1	1	1	0	0	2	0	0	0	1	0	1	3	0	0	0	2	2	3	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	2	3
You wouldn't realise he's wearing an artificial leg	0	0	0	0	0	0	0	1	2	3	1	1	0	0	0	0	0	1	1	0	0	3	0	2	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	1	2	0	0	3	0	1	2	1
Ossur Bionic Leg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
State-of-the-art 'bionic limbs' for Armed Forces	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Science of Innovation -- Bionic Limbs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
What Is The Future Of Robotic Limbs?	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	2	1	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	3	2	1	0	0	0	0	0	0	2	2	1	0	0	1	0	3	0	3	0	0	0	0	1
Dean of Invention- Introducing the Age of Bionic Limbs	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	0	0	0	0	0	1	2	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0
This Mind-Controlled Bionic Arm Can Touch and Feel	0	2	1	0	2	2	0	0	2	0	2	1	0	1	1	0	0	1	3	2	0	0	0	4	0	0	0	0	0	5	1	0	1	0	0	1	1	2	0	2	0	2	1	3	2	0	0	2	0	0	3	1	1	0	1	3	0	2
Amputee mother who lost hands and feet raises funds for bionic limbs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bionic Limbs - Science of Innovation	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bionic limbs become reality	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bionic limbs giving new life to amputees	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Would We Get Bionic Limbs?	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0	2	1	3	0	0	2	0	0	0	0	0	0	0	0	1
3D printing yourself a hand: Deus Ex's bionic limbs are being made for real by Open Bionics	2	1	0	0	0	0	1	0	1	0	0	1	0	2	0	0	2	0	5	0	1	1	1	0	2	0	4	0	0	8	3	0	0	2	0	2	0	0	0	4	2	0	0	5	0	3	3	1	2	0	0	2	2	0	0	0	1	2
Mind Controlled Bionic Limbs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hugh Herr  Bionic Limbs	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
