Title	make	work	em	thank	computer	hard	video	great	s	u	services	simple	e	using	service	thanks	know	sir	like	please	web	computing	cloud	good	information	check	best	helpful	videos	um	data	much	could	explanation	new	understand	storage	tutorial	nice	it	help	you	o	explained	provide	really	t	para	get	well	excellent	one
Cloud Computing -   - Video 1	0	0	0	0	0	0	3	2	0	2	0	0	0	0	0	0	0	2	2	2	0	2	3	0	0	0	1	0	1	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
What is Cloud Computing?	2	0	0	0	0	2	2	0	4	0	1	0	0	1	0	0	0	0	2	0	0	4	5	5	0	0	0	0	0	0	1	0	0	3	0	0	1	0	1	4	1	1	0	0	0	0	0	0	0	0	0	2
Cloud Computing Best Animation	0	2	0	0	1	0	4	0	2	0	0	0	1	0	2	0	1	0	0	0	0	5	9	0	0	2	1	0	0	0	2	0	0	0	1	0	0	0	2	3	0	0	0	0	1	1	0	0	1	1	0	3
MOOC Cloud Computing - 1.6 Tipos de Nubes - Actvate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Google, The Cloud, and the Future of Computing	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vishwa Bandhu Gupta: Cloud computing is great...but what if it rains? (Accurate English Subtitles)	1	0	0	0	1	2	0	1	4	0	0	0	0	0	0	0	1	0	0	2	0	3	11	0	0	0	0	0	0	0	5	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	3	0	0	0
Cloud Computing: What is Cloud Computing?	0	1	0	1	1	1	3	2	3	0	1	2	0	1	0	1	0	0	4	0	0	4	13	3	3	0	1	0	0	0	1	1	0	1	3	0	2	2	2	4	2	1	0	0	0	0	2	1	2	1	1	2
Voc sabe o que  Cloud Computing, ou Computao na Nuvem? [Dicas e Matrias]	0	0	2	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0
What are the Business Benefits of Cloud Computing, IaaS, PaaS and SaaS?	0	0	0	1	0	0	9	3	0	0	0	0	0	0	2	1	0	0	2	0	0	3	9	2	1	2	1	0	2	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	3	1
MOOC Cloud Computing - 1.1 Qu es el cloud computing - Actvate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cloud Computing and Microsoft Azure Tutorial For Beginners - Introduction - Part 1	2	1	0	2	1	0	4	3	2	1	0	1	0	0	0	5	0	0	0	0	0	4	4	6	0	0	0	1	3	0	0	2	1	2	0	0	0	2	2	0	1	0	0	3	0	2	2	0	0	0	1	1
Cloud Computing - How it all works	0	2	0	3	0	0	11	1	1	0	0	1	0	0	0	2	0	1	0	1	0	4	9	1	1	0	0	2	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	1	0	8	0	0	1	0	0	1
: Special Report - Cloud Computing 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
