Title	home	didn	cut	put	driving	used	video	batteries	great	china	power	buying	say	year	saying	next	electric	s	look	might	u	people	bolt	really	got	don	model	see	charge	like	years	solar	energy	please	technology	want	oil	lot	range	right	would	design	t	green	etc	could	available	still	leaf	future	never	need	speed	carbon	thing	real	mile	drive	back	better	maybe	ice	get	motor	much	best	can	gas	old	actually	two	hybrid	time	coal	keep	last	even	ones	it	free	petrol	long	make	world	work	companies	doesn	way	fuel	without	charging	plus	vehicle	add	powered	going	run	big	industry	they	using	every	know	point	bad	mpg	less	others	good	government	fiat	price	us	car	new	per	think	that	buy	live	market	also	due	volt	chargers	cost	miles	money	use	you	country	vehicles	engine	battery	love	makers	electricity	started	well	pay	cars	around	go	many	far	top	one	soon	costs
Tech Primer: Why 12-Volt Batteries in Electric Cars Get Sick -- And How To Keep Yours Healthy	0	2	0	2	3	2	0	11	0	1	0	0	0	4	0	0	1	9	0	2	0	0	0	1	1	4	0	0	4	5	8	9	2	1	0	0	0	1	2	0	4	0	13	0	0	0	1	3	11	0	3	6	0	0	1	0	1	3	1	3	0	4	5	2	2	1	1	0	4	2	0	0	1	0	6	3	3	0	5	0	0	4	3	0	4	0	2	3	0	1	4	1	3	0	1	0	3	1	0	1	1	2	2	0	0	0	3	0	2	0	1	0	0	10	3	0	3	2	1	0	0	1	2	6	2	1	0	0	4	0	0	1	0	41	0	0	0	2	2	1	3	1	1	0	4	0	5	1	0
Koch Brothers Declare War On Electric Cars	0	0	3	1	0	0	0	0	1	0	1	1	1	0	0	0	17	6	0	0	0	5	0	0	0	1	0	0	0	6	0	2	4	0	2	3	3	1	0	1	1	1	3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	3	0	0	0	2	0	0	0	0	2	0	2	0	0	0	1	2	0	0	0	1	1	0	1	0	1	0	0	0	1	3	0	3	1	0	3	2	6	1	0	0	0	1	0	3	0	0	0	0	0	0	4	0	0	3	1	0	0	0	3	0	0	0	0	1	4	2	1	0	1	0	0	0	0	1	0	0	0	7	2	2	0	1	0	2	0	0
1,360-HP NIO EP9 - The Worlds Fastest Electric Car (1-MegaWatt of Power)	0	0	0	1	2	0	0	3	1	0	2	0	1	0	0	0	4	1	0	0	3	0	0	0	0	1	0	1	0	4	0	0	0	0	0	1	0	0	0	1	2	1	1	0	0	0	0	2	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	2	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	1	0	3	0	0
TOP 5 FUTURE ELECTRIC CARS - CES 2017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12 Best Electric Cars with the Longest Driving Range	0	0	0	1	2	1	1	1	2	0	1	1	2	2	0	0	5	2	1	0	0	0	1	1	1	0	0	1	2	4	2	0	1	0	0	0	0	0	9	0	6	0	1	0	0	1	1	0	0	0	0	1	0	0	1	1	2	1	0	2	0	0	1	1	1	1	1	0	0	0	3	1	1	0	2	0	1	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	2	0	0	2	0	3	0	1	0	0	0	1	0	0	1	1	1	0	0	1	0	5	0	1	0	0	0	0	0	2	1	0	0	1	3	0	1	0	0	3	0	2	0	0	0	0	0	0	5	0	2	0	0	0	2	0	0
COLORS CARS KIDS Learn Colors w SuperHeroes drive Electric Cars Spiderman Cartoon Nursery Rhymes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Electric Car Roundup from the 2017 Detroit Auto Show: Comprehensive Guide	0	0	0	0	0	1	0	1	0	2	0	0	1	1	1	0	11	4	3	0	0	1	3	0	2	2	0	1	0	4	3	0	0	0	0	2	0	0	2	1	2	3	5	0	1	0	0	0	3	1	0	0	0	0	1	0	2	0	0	0	1	0	3	0	1	0	1	1	1	0	0	0	0	0	0	0	2	0	3	0	0	2	0	0	1	1	2	4	0	0	0	0	0	1	0	0	1	2	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	5	3	0	0	1	0	1	3	0	0	1	0	0	1	0	0	3	0	4	0	0	0	0	0	0	2	0	4	0	3	0	0	0	3	0	0
Why BMW Is Going All in With Electric Cars	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	7	2	4	0	0	0	0	1	1	0	2	0	0	6	1	0	0	0	0	0	0	1	0	0	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	1	0	0	0	1	0	0	1	0	0	0	0	2	0	1	0	0	2	1	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1	0	0	2	0	0	0	1	0	0	1	0	6	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	1	0	0
Tesla Motors: The Future of Electric Cars - Documentary	0	1	0	0	0	0	0	0	2	0	2	0	0	0	0	1	2	3	1	0	0	6	0	2	0	2	2	1	0	3	0	0	0	0	2	1	0	0	0	0	2	0	4	0	0	0	0	0	0	1	0	3	1	0	1	0	0	2	2	1	0	0	2	0	2	1	0	1	0	0	0	0	4	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	4	1	0	3	3	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	4	0	2	1	0	0	0	1	0	0	0	0	1	4	2	0	0	0	0	0	2	0	0	0	0	1	0	4	2	1	1	0	0	1	0	0
Five Electric Cars That Want to Kill Tesla	0	0	0	1	0	0	2	0	0	0	0	1	0	1	0	0	5	0	1	0	1	0	0	3	0	1	4	0	1	3	2	0	0	0	0	1	0	0	2	0	2	0	5	0	0	0	0	3	0	0	2	0	0	0	0	0	4	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	1	0	1	1	0	1	0	0	0	0	0	0	2	2	0	0	1	0	0	1	0	0	0	0	0	2	0	2	0	0	2	0	1	0	2	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	1	0	0	0
