Title	make	work	put	got	looks	used	made	way	thank	video	sure	great	filament	say	getting	please	s	time	look	u	people	also	using	don	thanks	know	build	like	want	that	good	first	try	would	didn	things	need	part	much	printed	could	pretty	print	think	buy	x	nice	re	use	you	printing	love	really	see	printers	t	one	little	parts	get	d	cool	prints	even	it	acetone	printer	top
Can You Recycle Failed 3D Prints?	9	0	1	0	1	1	1	1	1	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	3	3	0	0	0	0	0	0	1	0	1	1	0	2	0	0	1	2	1	1	1	0	0	0	1	2	0	0	1	0	1	0	2	0	2	2
ULTIMAKER 2 vs PRINT-RITE DIY 3D Printer & How to Bed Level - PRINTER PARTY | Make Test Battle	2	0	0	3	0	1	0	1	0	2	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	2	0	0	3	0	0	1	0	1	0	0	0	2	1	0	2	1	0	0	0	0	0	0	0	0	0	1	2	1	1	0	1	3	2	0	0	0	0	0	5	0
3D Printing Wood? How is that possible? Let's find out!	2	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	5	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	1	0	1	0	3	0	0	0	2	0	0	0	0	0	1	0	0	0	3	0	0	0
3D Printed House Took 24 Hours To Build	4	1	0	0	0	0	0	0	0	2	0	4	0	0	0	0	3	0	0	0	6	0	1	0	0	0	3	5	0	1	2	0	0	2	0	1	1	0	1	1	2	1	0	2	0	2	0	0	0	0	0	0	1	0	0	2	1	1	0	1	1	1	0	1	3	0	0	0
Simple way to make ultra-smooth 3D prints at home	3	1	1	0	0	0	0	1	1	2	0	3	0	1	0	1	0	0	0	0	1	0	0	1	2	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	3	2	2	0	1	2	2	0	0	1	0	0	3	0	1	2	2	1	0	3	3	4	4	2	0
Carbon M1 Super Fast 3D Printer Demo!	3	0	0	1	2	0	0	1	0	1	2	2	0	1	0	0	3	0	2	0	3	1	1	1	0	0	0	2	0	0	1	0	1	1	0	0	1	1	1	1	1	0	0	1	2	0	0	2	3	1	2	0	1	0	0	3	1	0	1	1	1	2	0	0	4	0	3	0
Now, Everyone Can Afford 3D Printing (Monoprice Mini Select Review)	2	0	0	0	0	0	1	0	2	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	2	1	0	4	0	0	1	0	0	2	2	1	1	0	1	0	1	0	4	1	0	0	0	0	0	1	1	1	0	2	0	2	2	1	3	1	1	1	0	0	0	0	4	0
Top 10 3D Printing Tricks HD	3	1	1	1	2	0	0	2	2	1	2	1	0	0	0	0	1	1	1	0	1	0	1	1	1	0	0	4	1	0	1	2	1	1	0	0	0	0	3	1	1	0	3	1	1	0	0	0	1	1	3	0	4	0	1	2	0	1	1	2	1	1	2	0	1	2	5	1
My Top 5 Useful 3D Prints	0	1	0	1	1	0	0	1	0	3	0	0	0	0	0	0	4	1	1	0	0	0	1	1	0	0	0	3	0	1	0	0	0	0	0	0	0	1	0	1	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	1	1	0	1	0	3	0	0	1
Biggest 3D Printed Super Satisfying Twist Containers	3	0	2	0	1	1	0	1	0	6	0	2	0	0	0	0	5	1	0	0	0	1	1	1	0	1	0	1	0	3	0	0	0	0	0	0	1	0	0	2	0	0	1	2	0	0	0	1	1	1	3	0	1	0	0	4	2	0	0	3	1	1	0	1	3	0	0	3
